# Vianema PROD schema dump (hokymscytscsewrpwdjf) — 2026-06-07
# Query A: information_schema.columns (table|column|type|nullable)
# Účel: podklad pre veľký release — diff dev vs prod, zladovací skript (Bezpecnost)
# Pozn: B (indexy) + C (RLS) doplníme keď CEO pošle.

analyzy_trhu|id|uuid|NO
analyzy_trhu|klient_id|uuid|YES
analyzy_trhu|obec|text|NO
analyzy_trhu|typ_nehnutelnosti|text|NO
analyzy_trhu|plocha|numeric|NO
analyzy_trhu|predajna_cena|numeric|YES
analyzy_trhu|priemerna_cena_m2|numeric|NO
analyzy_trhu|odporucana_od|numeric|NO
analyzy_trhu|odporucana_do|numeric|NO
analyzy_trhu|hodnotenie|text|NO
analyzy_trhu|odchylka_pct|integer|NO
analyzy_trhu|pocet_porovnani|integer|NO
analyzy_trhu|zdroj|text|NO
analyzy_trhu|komentar|text|YES
analyzy_trhu|analyzed_at|timestamp with time zone|NO
analyzy_trhu|company_id|uuid|NO
audit_log|id|uuid|NO
audit_log|user_id|text|YES
audit_log|action|text|NO
audit_log|entity_type|text|YES
audit_log|entity_id|text|YES
audit_log|detail|jsonb|YES
audit_log|ip|text|YES
audit_log|user_agent|text|YES
audit_log|created_at|timestamp with time zone|NO
auth_2fa_challenges|id|uuid|NO
auth_2fa_challenges|user_id|text|NO
auth_2fa_challenges|challenge|text|NO
auth_2fa_challenges|ip|text|YES
auth_2fa_challenges|user_agent|text|YES
auth_2fa_challenges|created_at|timestamp with time zone|YES
auth_2fa_challenges|expires_at|timestamp with time zone|NO
auth_2fa_challenges|used_at|timestamp with time zone|YES
client_interactions|id|uuid|NO
client_interactions|klient_id|uuid|NO
client_interactions|typ|text|NO
client_interactions|subject|text|YES
client_interactions|body|text|YES
client_interactions|occurred_at|timestamp with time zone|NO
client_interactions|created_by|text|NO
client_interactions|created_at|timestamp with time zone|NO
companies|id|uuid|NO
companies|name|text|NO
companies|slug|text|NO
companies|plan|text|NO
companies|plan_valid_until|timestamp with time zone|YES
companies|stripe_customer_id|text|YES
companies|stripe_subscription_id|text|YES
companies|logo_url|text|YES
companies|email|text|YES
companies|phone|text|YES
companies|address|text|YES
companies|city|text|YES
companies|country|text|NO
companies|is_active|boolean|NO
companies|settings|jsonb|NO
companies|created_at|timestamp with time zone|NO
companies|updated_at|timestamp with time zone|NO
companies|billing_status|text|YES
companies|plan_interval|text|YES
